month,pr_count,avg_merge_time,avg_loc,rolling_3m
2024-08-31 00:00:00+00:00,1,1811.9988888888888,11.0,
2024-09-30 00:00:00+00:00,0,,,
2024-10-31 00:00:00+00:00,0,,,0.3333333333333333
2024-11-30 00:00:00+00:00,14,91.24454365079364,524.2142857142857,4.666666666666667
2024-12-31 00:00:00+00:00,9,285.0648765432099,422.0,7.666666666666667
2025-01-31 00:00:00+00:00,7,135.4893650793651,274.42857142857144,10.0
2025-02-28 00:00:00+00:00,8,141.01600694444446,396.75,8.0
2025-03-31 00:00:00+00:00,9,178.73472222222222,146.33333333333334,8.0
2025-04-30 00:00:00+00:00,14,273.869623015873,43.92857142857143,10.333333333333334
2025-05-31 00:00:00+00:00,6,190.2538425925926,152.83333333333334,9.666666666666666
2025-06-30 00:00:00+00:00,5,341.9311666666666,481.2,8.333333333333334
2025-07-31 00:00:00+00:00,6,53.51333333333333,38.666666666666664,5.666666666666667
2025-08-31 00:00:00+00:00,7,296.0440476190476,145.28571428571428,6.0
2025-09-30 00:00:00+00:00,2,64.15,25.5,5.0
2025-10-31 00:00:00+00:00,5,185.34116666666665,39.0,4.666666666666667
